Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
DIN,"DineEquity, Inc",39.56,712032607.12,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/din
DPLO,"Diplomat Pharmacy, Inc.",16.56,1131098309.28,n/a,2014,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/dplo
DFS,Discover Financial Services,59.69,22225687776.12,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dfs
DFS^B,Discover Financial Services,25.35,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dfs^b
DRA,Diversified Real Asset Income Fund,17.82,317826738.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dra
DNI,Dividend and Income Fund,12.42,132262703.82,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dni
DLB,Dolby Laboratories,50.17,5119229251.69,n/a,2005,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/dlb
DG,Dollar General Corporation,77.67,21299065458.75,n/a,2009,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dg
DDC,Dominion Diamond Corporation,14.11,1155805919.16,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ddc
DM,"Dominion Energy Midstream Partners, LP",27.55,2733567642.8,n/a,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/dm
D,"Dominion Energy, Inc.",80.08,51458283116.24,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/d
DCUD,"Dominion Energy, Inc.",51.49,0,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dcud
DRUA,"Dominion Energy, Inc.",25.7,0,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/drua
DPZ,Domino&#39;s Pizza Inc,178.73,8624684067.4,n/a,2004,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dpz
UFS,Domtar Corporation,39.82,2588343961.28,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ufs
DCI,"Donaldson Company, Inc.",46.93,6151841107.1,n/a,n/a,Capital Goods,Pollution Control Equipment,http://www.nasdaq.com/symbol/dci
DFIN,"Donnelley Financial Solutions, Inc.",21.01,708037000,n/a,2016,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/dfin
LPG,Dorian LPG Ltd.,6.82,375818268.76,n/a,2014,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/lpg
DSL,DoubleLine Income Solutions Fund,20.72,2099968705.52,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/dsl
DBL,DoubleLine Opportunistic Credit Fund,24.52,364382574.04,n/a,2012,n/a,n/a,http://www.nasdaq.com/symbol/dbl
PLOW,"Douglas Dynamics, Inc.",34.85,787292760.45,n/a,2010,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/plow
DEI,"Douglas Emmett, Inc.",38.38,6251152248.52,n/a,2006,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dei
DOV,Dover Corporation,85.27,13279461629.25,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/dov
DDE,Dover Downs Gaming & Entertainment Inc,1.01,33484158.32,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/dde
DVD,"Dover Motorsports, Inc.",1.95,71937754.2,n/a,1996,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/dvd
DOW,Dow Chemical Company (The),64.54,78961135782.2,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dow
DPS,"Dr Pepper Snapple Group, Inc",90.34,16417010572.42,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/dps
RDY,Dr. Reddy&#39;s Laboratories Ltd,31.71,5257580595.54,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rdy
DRD,DRDGOLD Limited,3.25,140214672,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/drd
DHF,Dreyfus High Yield Strategies Fund,3.51,255203984.88,n/a,1998,n/a,n/a,http://www.nasdaq.com/symbol/dhf
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",13.35,245399446.35,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/dmb
DSM,"Dreyfus Strategic Municipal Bond Fund, Inc.",8.63,424971448.15,n/a,1989,n/a,n/a,http://www.nasdaq.com/symbol/dsm
LEO,"Dreyfus Strategic Municipals, Inc.",8.92,552951076.52,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/leo
DRQ,"Dril-Quip, Inc.",36.9,1396225521,n/a,1997,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/drq
DS,Drive Shack Inc.,2.61,174694461.84,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ds
DS^B,Drive Shack Inc.,25.2282,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^b
DS^C,Drive Shack Inc.,24.25,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^c
DS^D,Drive Shack Inc.,24.48,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ds^d
DST,"DST Systems, Inc.",50.71,3068403428.53,n/a,1995,Technology,EDP Services,http://www.nasdaq.com/symbol/dst
DSW,DSW Inc.,20.05,1604181071.55,n/a,2005,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/dsw
DTE,DTE Energy Company,111.5,20002384058.5,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dte
DTJ,DTE Energy Company,25.92,0,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtj
DTQ,DTE Energy Company,25.1399,0,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtq
DTV,DTE Energy Company,57.25,0,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtv
DTY,DTE Energy Company,27.42,0,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dty
DCO,Ducommun Incorporated,26.26,297246551.16,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/dco
DPG,Duff & Phelps Global Utility Income Fund Inc.,16.35,620152328.1,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/dpg
DSE,Duff & Phelps Select Energy MLP Fund Inc.,6.51,169970677.17,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/dse
DNP,"Duff & Phelps Utilities Income, Inc.",11.405,3257321683.335,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/dnp
DTF,"Duff & Phelps Utilities Tax-Free Income, Inc.",14.55,123975966.75,n/a,1991,n/a,n/a,http://www.nasdaq.com/symbol/dtf
DUC,"Duff & Phelps Utility & Corporate Bond Trust, Inc.",9.22,253500977.26,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/duc
DUK,Duke Energy Corporation,87.23,61056671909.09,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/duk
DUKH,Duke Energy Corporation,25.4,0,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/dukh
DRE,Duke Realty Corporation,29.38,10451407012.02,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dre
DNB,Dun & Bradstreet Corporation (The),109.61,4050885049.38,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dnb
DFT,"Dupont Fabros Technology, Inc.",64.11,5044819490.16,n/a,2007,Finance,Real Estate,http://www.nasdaq.com/symbol/dft
DFT^C,"Dupont Fabros Technology, Inc.",26.9,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dft^c
DHG,"DWS High Income Opportunities Fund, Inc.",14.96,227113295.2,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/dhg
DXC,DXC Technology Company,84.88,24164446457.6,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dxc
DY,"Dycom Industries, Inc.",79.26,2463305608.74,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/dy
DLNG,Dynagas LNG Partners LP,14.36,509636400,n/a,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/dlng
DLNG^A,Dynagas LNG Partners LP,26.5318,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dlng^a
DYN,Dynegy Inc.,9.59,1259864643.73,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dyn
DYN.WS,Dynegy Inc.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dyn.ws
DYN.WS.A,Dynegy Inc.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dyn.ws.a
DYN^A,Dynegy Inc.,31.7075,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dyn^a
DYNC,Dynegy Inc.,67.76,0,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dync
DX,"Dynex Capital, Inc.",7.16,352517101.12,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dx
DX^A,"Dynex Capital, Inc.",25.56,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dx^a
DX^B,"Dynex Capital, Inc.",24.6,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dx^b
DD,E.I. du Pont de Nemours and Company,82.66,71732843960,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd
DD^A,E.I. du Pont de Nemours and Company,90.59,0,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd^a
DD^B,E.I. du Pont de Nemours and Company,103.896,0,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/dd^b
ELF,"e.l.f. Beauty, Inc.",20.54,946898128.54,n/a,2016,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/elf
SSP,E.W. Scripps Company (The),18.25,1499758044.75,n/a,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/ssp
EGIF,Eagle Growth and Income Opportunities Fund,16.65,119561568.75,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/egif
EXP,Eagle Materials Inc,87.24,4230962030.4,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/exp
ECC           ,Eagle Point Credit Company Inc.,20.57,372125863.56,n/a,2014,n/a,n/a,http://www.nasdaq.com/symbol/ecc
ECCA,Eagle Point Credit Company Inc.,25.94,0,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/ecca
ECCB,Eagle Point Credit Company Inc.,26.3861,0,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/eccb
ECCY,Eagle Point Credit Company Inc.,25.69,0,n/a,2017,n/a,n/a,http://www.nasdaq.com/symbol/eccy
ECCZ,Eagle Point Credit Company Inc.,25.6711,0,n/a,2015,n/a,n/a,http://www.nasdaq.com/symbol/eccz
ESTE,"Earthstone Energy, Inc.",9.53,562005799.81,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este
DEA,"Easterly Government Properties, Inc.",19.84,772347312.64,n/a,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dea
EGP,"EastGroup Properties, Inc.",86.55,2969234672.1,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/egp
EMN,Eastman Chemical Company,84.87,12295889047.26,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/emn
KODK,Eastman Kodak Company,7.4,314420309.4,n/a,n/a,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/kodk
KODK.WS,Eastman Kodak Company,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kodk.ws
KODK.WS.A,Eastman Kodak Company,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/kodk.ws.a
ETN,"Eaton Corporation, PLC",70.7,31447360000,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/etn
ETV,Eaton Vance Corporation,15.1891,971577601.4059,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/etv
ETW,Eaton Vance Corporation,11.58,1232606871.3,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/etw
EV,Eaton Vance Corporation,47,5480484773,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ev
EOI,Eaton Vance Enhance Equity Income Fund,13.29,520609821.21,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/eoi
EOS,Eaton Vance Enhanced Equity Income Fund II,14.88,709108230.24,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/eos
EFT,Eaton Vance Floating Rate Income Trust,14.72,586793516.8,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/eft
EFL,Eaton Vance Floating-Rate 2022 Target Term Trust,10.0087,210182700,n/a,2017,n/a,n/a,http://www.nasdaq.com/symbol/efl
EFF,Eaton vance Floating-Rate Income Plus Fund,16.5913,126200429.3286,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/eff
EHT,Eaton Vance High Income 2021 Target Term Trust,10.13,217399534.93,n/a,2016,n/a,n/a,http://www.nasdaq.com/symbol/eht
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,20.59,223042080.96,n/a,2013,n/a,n/a,http://www.nasdaq.com/symbol/etx
EOT,Eaton Vance Municipal Income Trust,22.23,338223292.29,n/a,2009,n/a,n/a,http://www.nasdaq.com/symbol/eot
EVN,Eaton Vance Municipal Income Trust,12.98,308694825.12,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evn
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,9.24,588283809.96,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/etj
EFR,Eaton Vance Senior Floating-Rate Fund,14.66,540196268.58,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/efr
EVF,Eaton Vance Senior Income Trust,6.6,249919606.2,n/a,1998,n/a,n/a,http://www.nasdaq.com/symbol/evf
EVG,Eaton Vance Short Diversified Income Fund,14.39,257301776.44,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/evg
EVT,Eaton Vance Tax Advantaged Dividend Income Fund,21.51,1566700209,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/evt
ETO,Eaton Vance Tax-Advantage Global Dividend Opp,23.65,343642328.15,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/eto
EXD,Eaton Vance Tax-Advantaged Bond,11.58,112691765.88,n/a,2010,n/a,n/a,http://www.nasdaq.com/symbol/exd
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,16.63,1268872558.82,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/etg
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,16.3,402784279.6,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/etb
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,11.14,1664808610.8,n/a,2006,n/a,n/a,http://www.nasdaq.com/symbol/ety
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,9.13,2752311631.3,n/a,2007,n/a,n/a,http://www.nasdaq.com/symbol/exg
ECT,ECA Marcellus Trust I,2.125,37410625,n/a,2010,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ect
ECR,Eclipse Resources Corporation,2.24,588534110.08,n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ecr
ECL,Ecolab Inc.,131.04,37920525683.04,n/a,n/a,Basic Industries,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/ecl
EC,Ecopetrol S.A.,9.24,18995912942.16,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ec
EIX,Edison International,80.75,26309254884.5,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/eix
EDR,Education Realty Trust Inc.,38.23,2798301506.86,n/a,2005,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/edr
EW,Edwards Lifesciences Corporation,111.76,23599021432.8,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ew
EHIC,eHi Car Services Limited,9.03,626967736.29,n/a,2014,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/ehic
EP^C,El Paso Corporation,47.7,0,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/ep^c
EE,El Paso Electric Company,55.35,2246750816.4,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ee
EGO,Eldorado Gold Corporation,1.96,1556260932.8,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/ego
ELVT,"Elevate Credit, Inc.",6.32,263502749.36,n/a,2017,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/elvt
LLY,Eli Lilly and Company,78.79,86746918897.76,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lly
ELLI,"Ellie Mae, Inc.",81.29,2794627858.55,n/a,2011,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/elli
EFC,Ellington Financial LLC,16.05,515408786.85,n/a,2010,Finance,Real Estate,http://www.nasdaq.com/symbol/efc
EARN,Ellington Residential Mortgage REIT,14.65,193455799.1,n/a,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/earn
AKO.A,Embotelladora Andina S.A.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ako.a
AKO.B,Embotelladora Andina S.A.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ako.b
ERJ,Embraer-Empresa Brasileira de Aeronautica,21.63,3972911533.92,n/a,2000,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/erj
EME,"EMCOR Group, Inc.",63.31,3746594253.74,n/a,n/a,Capital Goods,Engineering & Construction,http://www.nasdaq.com/symbol/eme
EEX,"Emerald Expositions Events, Inc.",21.62,1561011715.34,n/a,2017,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/eex
EMES,Emerge Energy Services LP,6.25,188442387.5,n/a,2013,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/emes
EBS,"Emergent Biosolutions, Inc.",35.81,1475786214.27,n/a,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ebs
EMR,Emerson Electric Company,58.56,37479548712.96,n/a,n/a,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/emr
ESRT,"Empire State Realty Trust, Inc.",20.45,6488475018.9,n/a,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/esrt
EIG,Employers Holdings Inc,41.6,1348463792,n/a,2007,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/eig
EDN,Empresa Distribuidora Y Comercializadora Norte S.A. (Edenor),35.79,1622101401.45,n/a,2007,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/edn
ENBL,"Enable Midstream Partners, LP",14.04,6073107328.08,n/a,2014,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/enbl
EEQ,Enbridge Energy Management LLC,13.62,1192696222.26,n/a,2002,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eeq
EEP,"Enbridge Energy, L.P.",14.25,7184557860.75,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/eep
ENB,Enbridge Inc,40.39,66477699413.51,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/enb
ECA,Encana Corporation,9.15,8904086777.7,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eca
EXK,Endeavour Silver Corporation,2.29,291875178.9,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/exk
ENH^C,Endurance Specialty Holdings Ltd,26.88,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/enh^c
NDRO,Enduro Royalty Trust,3.35,110550000,n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ndro
ENIA,Enel Americas S.A.,10.63,12214431582.9,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/enia
ENIC,Enel Chile S.A.,5.59,5488571993.45,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/enic
EOCC,Enel Generacion Chile S.A.,22.98,6282544000.62,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/eocc
EGN,Energen Corporation,50.56,4914289168,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/egn
ENR,"Energizer Holdings, Inc.",44.53,2756647061.23,n/a,2015,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/enr
EPC,"Energizer Holdings, Inc.",74.9,4267151793.1,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/epc
ETE,"Energy Transfer Equity, L.P.",16.9,18238227007,n/a,2006,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/ete
ETP,"Energy Transfer Partners, L.P.",18.56,26680362810.88,n/a,n/a,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/etp
ERF,Enerplus Corporation,8.81,2133156005.45,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/erf
ENS,Enersys,63.02,2735147090.1,n/a,2004,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/ens
EGL,"Engility Holdings, Inc.",29.69,1092854340.84,n/a,2015,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/egl
E,ENI S.p.A.,31.28,56838658561.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/e
ENLK,"EnLink Midstream Partners, LP",15.23,5292441280.87,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/enlk
ENLC,"EnLink Midstream, LLC",16.85,3042678505.2,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/enlc
EBF,"Ennis, Inc.",18.75,476569406.25,n/a,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/ebf
ENVA,"Enova International, Inc.",11.5,387357927,n/a,2014,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/enva
NPO,EnPro Industries,69.72,1486661312.64,n/a,n/a,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/npo
ESV,ENSCO plc,4.43,1348844375.49,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/esv
ETM,Entercom Communications Corporation,10.35,421940758.05,n/a,1999,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/etm
EAB,"Entergy Arkansas, Inc.",25.1277,0,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/eab
EAE,"Entergy Arkansas, Inc.",25.55,0,n/a,2013,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/eae
EAI,"Entergy Arkansas, Inc.",24.99,0,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/eai
ETR,Entergy Corporation,79.85,14334673676.85,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/etr
ELC,"Entergy Louisiana, Inc.",24.9301,0,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/elc
ELJ,"Entergy Louisiana, Inc.",25.4475,0,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/elj
ELU,"Entergy Louisiana, Inc.",25.2043,0,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/elu
EMP,"Entergy Mississippi, Inc.",24.82,0,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/emp
ENJ,"Entergy New Orleans, Inc.",25.38,0,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/enj
ENO,"Entergy New Orleans, Inc.",26.49,0,n/a,2016,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/eno
EZT,Entergy Texas Inc,27.09,0,n/a,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ezt
EPD,Enterprise Products Partners L.P.,25.86,55572780778.74,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/epd
EVC,Entravision Communications Corporation,5.6,506345548.8,n/a,2000,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/evc
ENV,"Envestnet, Inc",43,1892860258,n/a,2010,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/env
EVHC,Envision Healthcare Corporation,52.05,6289024217.7,n/a,2016,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/evhc
EVA,"Enviva Partners, LP",28.65,753981992.7,n/a,2015,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/eva
ENZ,"Enzo Biochem, Inc.",11.01,510944714.31,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/enz
EOG,"EOG Resources, Inc.",84.51,48800140536.69,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eog
EPE,EP Energy Corporation,3,767385960,n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epe
EPAM,"EPAM Systems, Inc.",78.83,4140414655.71,n/a,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/epam
EPR,EPR Properties,69.15,5093718033.9,n/a,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/epr
EPR^C,EPR Properties,27.76,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/epr^c
EPR^E,EPR Properties,35.5523,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/epr^e
EPR^F,EPR Properties,25.43,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/epr^f
EQT,EQT Corporation,61.06,10583346620,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eqt
EQGP,"EQT GP Holdings, LP",28,7452620000,n/a,2015,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/eqgp
EQM,"EQT Midstream Partners, LP",74.99,6042826032.42,n/a,2012,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/eqm
EFX,"Equifax, Inc.",140.7,16936412016.3,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/efx
EQC,Equity Commonwealth,30.44,3777282644.92,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqc
EQC^D,Equity Commonwealth,25.9247,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eqc^d
EQCO,Equity Commonwealth,25.11,0,n/a,2012,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/eqco
ELS,"Equity Lifestyle Properties, Inc.",88.7,7717354853.6,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/els
ELS^C.CL,"Equity Lifestyle Properties, Inc.",n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/els^c.cl
